a,b,conflict_rate,expected_if_independent,multiplier,z,p_value,significant
fineweb_edu,modernbert_readability,0.05836423970329885,0.12500976009681647,0.4668774634724314,-45.60994790178619,0.0,False
fineweb_edu,fluency_en,0.07511223892250635,0.12500487995315246,0.6008744534665834,-34.14541318741518,1.5640871445193654e-255,False
fineweb_edu,modernbert_reasoning,0.026937341401522544,0.12500976009681647,0.21548190621804528,-67.11745787087588,0.0,False
fineweb_edu,modernbert_professionalism,0.044329494436853405,0.12500976009681647,0.35460826740665274,-55.2148545277337,0.0,False
fineweb_edu,modernbert_cleanliness,0.0593011907085692,0.12500976009681647,0.47437248629740697,-44.96873021326675,0.0,False
fineweb_edu,ad_en,0.17249658403279328,0.12496095866017654,1.3804038147777569,32.53722424580558,3.17447497174553e-232,True
fineweb_edu,rps_lines_ending_with_terminal_punctution_mark,0.13966425922311146,0.12366284044555469,1.1293955299741134,11.001843090308075,3.7440020993701735e-28,True
fineweb_edu,rps_doc_frac_no_alph_words,0.12209642787429241,0.12500976009681647,0.9766951618796184,-1.9937863806198433,0.04617540457559031,False
fineweb_edu,rps_doc_frac_chars_top_2gram,0.11764591059925825,0.12500976009681647,0.9410938034609847,-5.039570401087203,4.665779771974248e-07,False
fineweb_edu,rps_doc_frac_chars_top_3gram,0.16183876634784305,0.12499999980948848,1.294710132756002,25.212053824629418,2.954718468203362e-140,True
fineweb_edu,rps_lines_uppercase_letter_fraction,0.14733554557876244,0.12500976009681647,1.1785923392273954,15.27901510387268,1.0552347082241587e-52,True
fineweb_edu,rps_doc_frac_unique_words,0.21709935584618387,0.124677910327665,1.7412816374258024,63.32223471225545,0.0,True
fineweb_edu,rps_lines_numerical_chars_fraction,0.15777864532500488,0.12500976009681647,1.2621306144641014,22.42592059049565,2.1989956937667267e-111,True
fineweb_edu,rps_doc_unigram_entropy,0.06398594573492095,0.12500976009681647,0.5118476004222844,-41.76264177066953,0.0,False
modernbert_readability,fluency_en,0.022935779816513763,0.12500487995315246,0.18347907557776388,-69.85382064045147,0.0,False
modernbert_readability,modernbert_reasoning,0.05820808120242046,0.12500976009681647,0.4656282930016022,-45.716817516539436,0.0,False
modernbert_readability,modernbert_professionalism,0.1463985945734921,0.12500976009681647,1.17109731640242,14.637797415353237,1.6120644151914188e-48,True
modernbert_readability,modernbert_cleanliness,0.013956666016006246,0.12500976009681647,0.11164461083036403,-76.00099459723901,0.0,False
modernbert_readability,ad_en,0.12496584032793286,0.12496095866017654,1.00003906554342,0.0033414079910684953,0.9973339471136674,False
modernbert_readability,rps_lines_ending_with_terminal_punctution_mark,0.08649228967401913,0.12366284044555469,0.6994202087093356,-25.55676923738416,4.6172886506148885e-144,False
modernbert_readability,rps_doc_frac_no_alph_words,0.05444075736872926,0.12500976009681647,0.4354920553928466,-48.295046972461364,0.0,False
modernbert_readability,rps_doc_frac_chars_top_2gram,0.1203786843646301,0.12500976009681647,0.9629542867004965,-3.169352142905491,0.0015277916899885194,False
modernbert_readability,rps_doc_frac_chars_top_3gram,0.14475893031426898,0.12499999980948848,1.1580714442791595,13.52279856832277,1.1472688363306446e-41,True
modernbert_readability,rps_lines_uppercase_letter_fraction,0.09375365996486433,0.12500976009681647,0.7499707214241097,-21.390621458333026,1.633677451630811e-101,False
modernbert_readability,rps_doc_frac_unique_words,0.2051727503415967,0.124677910327665,1.6456223063282331,55.150762075738214,0.0,True
modernbert_readability,rps_lines_numerical_chars_fraction,0.16529377317977748,0.12500976009681647,1.322246943372759,27.56902080049536,2.618132086005819e-167,True
modernbert_readability,rps_doc_unigram_entropy,0.04723794651571345,0.12500976009681647,0.3778740674258475,-53.22440795295459,0.0,False
fluency_en,modernbert_reasoning,0.08846379074760882,0.12500487995315246,0.707682698313554,-25.00790824993788,5.0149788841433407e-138,False
fluency_en,modernbert_professionalism,0.1722623462814757,0.12500487995315246,1.378044971892567,32.34195826554464,1.7999224245349053e-229,True
fluency_en,modernbert_cleanliness,0.025609994144056215,0.12500487995315246,0.2048719550281074,-68.02364786788657,0.0,False
fluency_en,ad_en,0.16365410892055438,0.12495608118367413,1.3096930327064087,26.48850122538348,1.3149958030557115e-154,True
fluency_en,rps_lines_ending_with_terminal_punctution_mark,0.05010735896935389,0.12365802774297663,0.40520910679169253,-50.57091829105942,0.0,False
fluency_en,rps_doc_frac_no_alph_words,0.03861018934218231,0.12500487995315246,0.30886945658963144,-59.126603586658675,0.0,False
fluency_en,rps_doc_frac_chars_top_2gram,0.1273667772789381,0.12500487995315246,1.0188944409743907,1.616429967009861,0.10600138364285115,False
fluency_en,rps_doc_frac_chars_top_3gram,0.13105602186219012,0.12499512042787064,1.048489104323212,4.148084857235671,3.352681373023669e-05,True
fluency_en,rps_lines_uppercase_letter_fraction,0.06796798750731993,0.12500487995315246,0.5437226733291692,-39.03477986448637,0.0,False
fluency_en,rps_doc_frac_unique_words,0.15500683193441342,0.12467303361320875,1.2433068117626271,20.783445900183082,6.111102547172903e-96,True
fluency_en,rps_lines_numerical_chars_fraction,0.11171188756587937,0.12500487995315246,0.8936602123672703,-9.097428161435744,9.249610375833226e-20,False
fluency_en,rps_doc_unigram_entropy,0.08797579543236385,0.12500487995315246,0.7037788881948781,-25.341881383617608,1.1043105525095838e-141,False
modernbert_reasoning,modernbert_professionalism,0.0481358578957642,0.12500976009681647,0.38505679763311573,-52.60990766812346,0.0,False
modernbert_reasoning,modernbert_cleanliness,0.03484286550849112,0.12500976009681647,0.27872116130377594,-61.707183623993075,0.0,False
modernbert_reasoning,ad_en,0.1295725161038454,0.12496095866017654,1.036903985797754,3.156522660444549,0.0015966248092121346,True
